Function Name,Cyclomatic Complexity,First Line,Function Length (lines)
nrf52_errata_9,1,static bool nrf52_errata_9(void),6
debug_step_04,1,"int debug_step_04(int y, int z)",9
square,1,float square(float n),4
_test_macro_test,1,static bool _test_macro_test(),4
bad_boy,1,static void bad_boy(),3
inc,1,int inc(int a) {,3
nrf52_errata_117,1,static bool nrf52_errata_117(void),6
f,2,void f(void),9
memcmp,1,void memcmp() {},1
SNDDummyReset,1,int SNDDummyReset(),4
wait_for_irsc_completion,1,static inline void wait_for_irsc_completion(void) { },1
nrf51_errata_1,1,static bool nrf51_errata_1(void),6
Unknown,1,uintptr_t,5
Unknown,1,void,4
*,1,const char *,5
quickSort,2,"void quickSort(int *vet, int left, int right){",5
long,10,static long,39
foo602,1,void foo602(int p) {},1
_poids_caractere,27,int _poids_caractere(char c),17
helpFakeFunc,1,void helpFakeFunc(int d),3
path_010_expected_3,3,void path_010_expected_3(int a) {,8
symbol31_randomtag,1,void symbol31_randomtag(void) {},1
Unknown,1,int,8
minof,2,"inline int minof(int x, int y)",4
clamp,3,"static inline float clamp(float amount, float low, float high) {",3
Unknown,1,void,6
Unknown,1,int,5
isupper,2,int isupper(int c),4
binsgeq,4,"double binsgeq(double *vec, int len, double item)",15
ti_dx_start,1,int ti_dx_start(double const *options) {,3
main,1,int main(),19
gfx_ctx_destroy,1,void gfx_ctx_destroy(void),3
f,2,int f(int x) {,10
isalpha,1,static inline int isalpha(int c){return (((unsigned)c|32)-'a' < 26);},1
data_cleanup,1,static void data_cleanup(void),4
init_rlimit,1,static void init_rlimit( void ) {,3
extended_gcd,2,"int extended_gcd(int a,int b){",22
interpolate,1,"static inline int interpolate(int val, int rangeStart, int rangeEnd, int valStart, int valEnd) {",3
fuzzCorrupt,1,static int fuzzCorrupt(){,3
SetBit,2,"void SetBit(int data ,int bit)",10
wrap,1,static inline char wrap(char f) { return f; },1
_extu,1,"static inline unsigned int _extu(unsigned int src2, unsigned int csta, unsigned int cstb)",4
Unknown,2,int,8
Unknown,1,void,4
crunch,3,void crunch(int usecs) {,8
associatedConnectivity,5,int associatedConnectivity(int connectivity),22
first_empty_cell,6,"char first_empty_cell(char *cell, char minimum) {",8
ltop,1,static void ltop() {,5
test_private,10,void test_private() {,41
maxof,2,"int maxof(int x, int y)",7
inet_aton,1,"int inet_aton(const char *cp, struct in_addr *inp)",5
foo382,1,void foo382() {},1
gb_min_int,2,"static int gb_min_int(int a, int b)",4
,2,void do_nothing (void),5
PrintA,1,void PrintA(),4
langEnumControlsJoyMouse,1,"char* langEnumControlsJoyMouse() { return ""Mouse""; }",1
round_up_by_power_of_two,1,"inline int round_up_by_power_of_two(int x, int power_of_two) {",3
fct,1,void fct(int test){},1
int,1,static inline int,4
Unknown,1,int,5
int_max,2,"int int_max(int a, int b)",4
do_348,1,int do_348() { return 348; },1
init_rambases,1,void init_rambases(),6
do_e,1,int do_e() {return 1;},1
Unknown,1,int,6
op_xor,1,"static unsigned char op_xor(unsigned char n1, unsigned char n2)",4
_binary_search,4,"int _binary_search(int nums[], int l, int r, int x)",15
,1,void __attribute__ ((constructor)),5
http_read_line,6,"int http_read_line(int fd, char *buf, size_t size)",33
get_length_of_text,2,unsigned int get_length_of_text(char *text),8
B2,1,static double B2(double t),5
,2,__attribute__ ((noinline)),5
sqlite3Fts3IsIdChar,2,int sqlite3Fts3IsIdChar(char c){,13
name_t,22,"int name_t(char * help,char *bb,char *ab,char * fp,char*pb)",26
ConvertVIC_To_VM_Index,21,"unsigned char ConvertVIC_To_VM_Index(unsigned char VIC, unsigned char _3D_Struct)",113
strlen,3,int strlen(const char *str),5
cpu_unboost,1,static inline void cpu_unboost(void) { },1
base64_encode_size,1,static inline int base64_encode_size(int s),4
init_FULL_SPIRAL,1,void init_FULL_SPIRAL() {,2
sig_alrm,1,void sig_alrm(int signo) {,3
c048,1,int c048(void) { return 0; },1
func0,1,"void func0(int var1, int var2)",11
dprintf_IsQualifierNoDollar,23,static char dprintf_IsQualifierNoDollar(char c),13
node_name,1,char node_name(int n) { return ('A' + n); },1
local_mcu_GlobalInterrupts_targetInit__I,1,void local_mcu_GlobalInterrupts_targetInit__I() {,2
setbit,2,int setbit(int n) {,3
_fmin,2,"static double _fmin(double a, double b)",4
CL_CDDialog,1,void CL_CDDialog( void ) {,2
busquedaBin1,6,"int busquedaBin1(double m[], int n, double v)",23
_isfmt,6,int _isfmt(char c),13
Filter_Definition,1,static const char* Filter_Definition(void) {,7
heap_max,1,int heap_max(int array[]){,3
foo129,1,void foo129() {},1
,1,"void break_at_me (int id, int i)",3
filename_recode,1,const char* filename_recode(const char* filename),6
,9,in_addr_t host_resolv (char* _name) {,42
int,2,unsigned int,16
imin,2,"int imin(int l, int r)",6
TIM0_OC2_IRQHandler,1,void TIM0_OC2_IRQHandler(void),3
inline,4,static inline,8
power,2,"double power(double n, int p)",10
calc_nc,1,"static int calc_nc(int c, int a)",4
auto_init,1,void auto_init(void),4
function,4,int function(int x),12
some_helper,1,int some_helper() {,3
helper_double_21_recursive,21,"void helper_double_21_recursive(double *buf, int depth) {",417
f,1,void f(int a[9]) {},1
FPU_FNOP,1,static void FPU_FNOP(void){,3
reverse,8,int reverse(int x) {,32
fact,2,double fact(int n) {,7
sd2eps,2,double sd2eps(unsigned int sigdig),12
*dummyaudio_VolumeGetString,1,const char *dummyaudio_VolumeGetString(void),4
my_square_root,6,int my_square_root(int nb),20
test1f,1,float test1f(float a) { return -a; },1
,1,const char* get_lame_very_short_version ( void ),9
ft_sisnum,5,int ft_sisnum(const char *str),13
interp_4,1,"double interp_4(double phim1, double phi, double phip1, double phip2){",3
test27,2,void test27(void) {,6
omp_get_max_threads,1,static inline int omp_get_max_threads(void){,3
foo366,1,void foo366(int p) {},1
int,1,static inline unsigned int,12
rfbi_uninit_platform_driver,1,static inline void rfbi_uninit_platform_driver(void),3
RomOpen,1,void RomOpen(),3
iphash_v6,3,"static unsigned int iphash_v6(const char *ipv6, unsigned int nhash) {",10
req_riva_power_on_lock,1,static inline int req_riva_power_on_lock(char *driver_name),4
void,1,inline static void,5
vscp_data_coding_init,1,extern void vscp_data_coding_init(void),6
int,2,static int,12
dont_inline_me,1,"inline int dont_inline_me(int a, int b) { return(a+b); }",1
wpa_debug_open_syslog,1,static inline void wpa_debug_open_syslog(void),3
DVBGenreCode,81,char* DVBGenreCode( unsigned char code ),108
do_330,1,int do_330() { return 330; },1
f,1,float f(float x){,4
,1,int w1 () { int w; return wait(&w); },1
nrf52_errata_141,1,static bool nrf52_errata_141(void),6
do_457,1,int do_457() { return 457; },1
indx,3,"static int indx(int n,int m)",14
int,5,extern int,6
nseel_asm_add_op_end,1,void nseel_asm_add_op_end(void) {},1
mdp4_lcdc_wait4vsync,1,static inline void mdp4_lcdc_wait4vsync(int cndx),4
nrf52_errata_111,1,static bool nrf52_errata_111(void),6
EndianTest,2,int EndianTest(void),6
InterpCubeLagrange,1,"double InterpCubeLagrange(double xdiff, double ydiff, double zdiff,",25
*skip_nul,2,static const char *skip_nul(const char *s),9
char2,1,void char2(),6
lowerCaseFromNumber,1,char lowerCaseFromNumber( int n ) {,3
RS485_Transmitter_Enable,1,void RS485_Transmitter_Enable(,5
getDelay,4,int getDelay(int level),14
*str_stmt_while,1,const char *str_stmt_while(),4
p5glove_dot,2,"static inline double p5glove_dot(const double a[3],const double b[3])",10
test_nested3,1,int test_nested3(int FOObar),6
calculate_actual_distance,1,"float calculate_actual_distance(float virt_dist, float calories, float estimated_calories) {",3
hdmi_test_switch_buffer,1,void hdmi_test_switch_buffer(void),4
conditionals,11,void conditionals() {,35
is_leaf,4,"int is_leaf(int m, int t) {",11
compareVersion,14,"int compareVersion(char* version1, char* version2) {",37
powi,3,"inline double powi(double base, int times)",11
*,3,static char *,10
mocked_int_function3,1,static int mocked_int_function3(),5
Unknown,3,int,9
main,1,int main(void),6
barebox_malloc_stats,1,void barebox_malloc_stats(void),3
tsend,3,"int tsend(int targetfd, char* bytes, int bytes_size)",10
,2,"int get_subtree_array_size (int u, int v, int left_subtree_size_threshold) {",7
Unknown,2,int,6
decode_test,1,static int decode_test(void),5
Twist,1,"static inline unsigned int Twist(unsigned int a, unsigned int b) {",5
main,1,int main(void),6
CallDebugFromASM,1,void CallDebugFromASM() { ; },1
util_hex_to_nib,15,int util_hex_to_nib(char ch),39
ft_multi_strchr,4,"int ft_multi_strchr(char *s, char *src)",18
ztrace_flush,1,inline void ztrace_flush() {},1
,1,void tcpclient (),3
do_865,1,int do_865() { return 865; },1
main,1,int main() {,3
stress_thrash_start,1,int stress_thrash_start(void),4
ts_warn_break,1,int ts_warn_break(void),4
,3,static size_t least_power_of_2_ge (size_t size) {,12
fpu_fchs,1,double fpu_fchs(double a),10
shiftaddress,1,void shiftaddress(){},1
_open,1,"int _open(const char *name, int flags, int mode)",4
M68KDummySync,1,static void M68KDummySync(void) {,2
is_bracket,3,int is_bracket(char c) {,10
__attribute__,1,__attribute__((weak)) void SysTick_Handler(void) {},1
foo412,1,void foo412() {},1
developer_mode_enabled,1,static inline int developer_mode_enabled(void) { return 0; },1
binary_search_recursive,4,"int binary_search_recursive(int arr[], int low, int high, int n){",22
UnixVfs_Sleep,1,static int UnixVfs_Sleep(unsigned int uSec),5
nrf51_errata_54,1,static bool nrf51_errata_54(void),8
EarlySampleSupport_D,1,void EarlySampleSupport_D(void),3
logo,1,void logo(),10
nrerror,1,void nrerror(char error_text[]),3
rbnd,2,static __inline size_t rbnd(size_t len) {,10
geom_dot4d,1,"double geom_dot4d(const double a[4], const double b[4]){",3
_close,1,int _close(int fd),4
myls_get_size,1,int myls_get_size(struct stat *filename_stat),4
strcmp_comma,8,"int strcmp_comma(const char* s1, const char* s2) {",10
findhigh,3,"float findhigh(float x, float y, float z) {",5
do_068,1,int do_068() { return 68; },1
PACER_TIMER_SaveConfig,1,void PACER_TIMER_SaveConfig(void),4
c2dir,13,int c2dir(char c){,14
destroy_half,1,void destroy_half(int* i),6
insert_sort0,3,"void insert_sort0( int *arr, int index )",15
UpdatePredictedSample,4,"static inline int UpdatePredictedSample(int PredictedSample, int EncodedSample,",16
VP8LDspInitNEON,1,void VP8LDspInitNEON(void) {},1
f2,1,void f2(int *arr){},1
test_safelen_simdlen,3,void test_safelen_simdlen() {,11
bcd_adjust,3,int bcd_adjust(int value),8
udelay,1,void udelay(unsigned int n),4
g,1,int g(int a) {,3
foo267,1,void foo267() {},1
foo308,1,void foo308() {},1
ft_pow,2,"int ft_pow(int a, unsigned int n)",9
f,1,void f(void),9
dummy_proc_0,1,void dummy_proc_0(){,3
func6_in_obj,1,int func6_in_obj(void) {,3
mat_Dabs,2,static double mat_Dabs(const double a),7
main,1,int main(void){,5
main,1,int main() {,10
generate_dh_params,1,int generate_dh_params(void) { return 0; },1
kirkwood_pm_init,1,static inline void kirkwood_pm_init(void) {},1
Unknown,1,double,5
OTF_fileExists,2,int OTF_fileExists( const char* filename ) {,11
_native_LED_RED_TOGGLE,1,void _native_LED_RED_TOGGLE(void),4
isright_brace,2,static int isright_brace(char c ),4
ft_tolower,3,int ft_tolower(int c),6
*osurandom_get_implementation,1,static const char *osurandom_get_implementation(void) {,3
delayMicroseconds,1,void delayMicroseconds(unsigned int us) {,4
gl_shader_set_proj_matrix,1,static inline void gl_shader_set_proj_matrix(void),10
nCr,4,"long nCr(long n, long r)",19
seek,1,"static int seek(int fd, int offset, int mode)",14
char,1,static inline char,5
set_sta_wpa_psk,1,int set_sta_wpa_psk(int radio),4
function_c,1,int function_c() {return 3;},1
GB_InterruptsEnd,1,void GB_InterruptsEnd(void),4
nrf52_errata_43,1,static bool nrf52_errata_43(void),6
funcion,2,int funcion(unsigned int valor),9
dns_v_api,1,int dns_v_api(void) {,3
Unknown,14,int,65
shelld_alarm,1,static void shelld_alarm(int sig),4
get_parent,1,int get_parent(int child_id){,3
foo659,1,void foo659(int p) {},1
range_except,1,void range_except(){},1
func,1,"int func(int *array, int *other) {",3
set_b,1,void set_b(int x){,4
initialize_phasefields,1,void initialize_phasefields() {,5
write_xattr,1,"static inline void write_xattr(char *pathname, unsigned int xattr)",3
test10_HelloWorld_targetInit__I,1,void test10_HelloWorld_targetInit__I() {,2
seq,3,int seq(int i) {,12
c024,1,int c024(void) { return 0; },1
db_list_nomaccts_report_sql,1,const char * db_list_nomaccts_report_sql(void) {,17
key_t,2,static key_t,26
imx51_pm_init,1,static inline void imx51_pm_init(void) {},1
init_sync,1,int init_sync( void ),6
PNGAbs,2,static inline int PNGAbs(int val) { return val<0?-val:val; },1
ar_cnt_set,1,"static inline void ar_cnt_set(int my_cid, int cnt, int val) {",3
shift_right,1,"long shift_right(long v, char n) {",3
nulls,3,"int nulls(char *buffer, int bufsize)",12
volesfera,1,int volesfera(int r){,6
omap_prm_base_init,1,static inline void omap_prm_base_init(void),3
factorial2,2,int factorial2(int i),9
Unknown,1,void,4
,19,"int serialOpen (char *device, int baud)",69
,1,void * foo (void) { return (void *)foo; },1
,1,"void InitGraph (short int *GraphDriver, short int *GraphModus, char *PathToDriver)",3
,4,int VerifSomaLados (int *dados){,10
ceil_shift_mul,1,"static inline unsigned int ceil_shift_mul(unsigned int a, unsigned int b)",4
void,5,static void,13
charFunc,1,char charFunc(void){,3
,1,void chacha20_predoit (void),3
palm27x_power_init,1,"static inline void palm27x_power_init(int ac, int usb) {}",1
SPUasync,1,"void SPUasync(unsigned int cycle, unsigned int flags)",3
byte_rchr,11,"unsigned int byte_rchr(const char *s,unsigned int n,int c)",18
update_ratio,1,double update_ratio(double new_ratio),8
factorial,2,int factorial(int n),5
DMA1_Channel7_IRQHandler,1,void DMA1_Channel7_IRQHandler(void),3
f,1,void f(int a) {},1
int,1,unsigned short int,5
bmp280_start_ut,1,static void bmp280_start_ut(void),4
lll_prof_exit_lll,1,static inline void lll_prof_exit_lll(void) {},1
int,1,unsigned int,5
int,1,unsigned short int,5
absolute,2,int absolute(int x) {,5
is_comment,1,static inline bool is_comment(char *line),4
main,1,void main() {,4
fact,2,int fact(int n){,8
Unknown,1,void,3
getushort,1,unsigned short getushort(unsigned short x),7
do_198,1,int do_198() { return 198; },1
void,1,static __inline void,4
rtems_init_network,1,int rtems_init_network( void ),4
cf_pipe_close,1,int cf_pipe_close(int fd),4
wait,3,void wait(unsigned char ms),10
iscntrl,3,int iscntrl(int c),4
cns3xxx_l2x0_init,1,static inline void cns3xxx_l2x0_init(void) {},1
kernel_so_lputs,1,void kernel_so_lputs( const char *s ),4
langRomTypeObsonet,1,"char* langRomTypeObsonet() { return ""Obsonet""; }",1
Unknown,5,__inline,19
fallthrough,1,int fallthrough(){return 42;},1
toCelsius,1,float toCelsius(float fahrenheit) {,3
omap_temp_sensor_prepare_idle,1,static inline void omap_temp_sensor_prepare_idle(void) { },1
nrf52_errata_211,1,static bool nrf52_errata_211(void),6
next_pow_2,3,int next_pow_2(int n) {,11
dummyaudio_VolumeSetLevel,1,void dummyaudio_VolumeSetLevel(int level),4
,1,void rt_chk_robin (void) {;},1
,1,"double berechne_jahres_durchschnittskosten (double jahres_fahrleistung, double kosten_pro_einheit)",6
Range_Definition,1,static const char* Range_Definition(void) {,9
system_sound_shutdown,1,void system_sound_shutdown(void),4
c_sensitive,5,"int c_sensitive(char *a, char *b)",14
vector_product,2,"double vector_product(int n, double *x, double *y){",6
symbol_FirstIndexVariable,1,static __inline__ int symbol_FirstIndexVariable(void),4
foo211,1,void foo211() {},1
ext2map,5,static int ext2map(char *extension) {,13
is_in_bound,2,"int is_in_bound(int *arr,int size,int *ptr)",11
cleanup,1,void cleanup(),4
Unknown,2,__attribute__((noinline)),8
int,2,unsigned int,8
ISORegexp__white_space,3,int ISORegexp__white_space(int c) {,4
isBinChar,7,bool isBinChar(char c) {,12
_maxu4,5,"static inline unsigned int _maxu4(unsigned int src1, unsigned int src2) {",30
Unknown,4,static,11
subtracao,1,"int subtracao(int *inteiros, size_t quantos) {",5
check_year,3,int check_year(int year),6
gettid,1,inline pid_t gettid(void),4
f,1,int f(),17
,2,int fn_35 (int v),13
bool,1,static bool,5
yy_z_foo__E,1,void yy_z_foo__E() {,2
resetA,1,void resetA(double* a) {,8
long,1,static inline unsigned long,5
umaFuncaoQueNaoFazNada,1,void umaFuncaoQueNaoFazNada(),4
close_syslog,1,static void close_syslog(void),4
*driver_name,6,const char *driver_name(unsigned char id),11
get_value,3,"static unsigned char get_value(unsigned long value, unsigned long min, unsigned long max)",7
qmin,2,"static __inline quad_t qmin(quad_t a, quad_t b) { return (a < b ? a : b); }",1
num_digits,3,int num_digits(int val),16
syscall6,1,"int syscall6(int n, int a0, int a1, int a2, int a3, int a4, int a5)",15
float,1,static inline float,5
,1,const char *event_get_method (void),4
char,6,inline char,2
zero,1,int zero(long x) {,3
execv,1,"static inline int execv(char* filename) { int retval; __asm__ (""int $0x80      \n\t"" ""mov %%eax, %0"":""=m""(retval):""a""(3),""b""(filename):""memory""); return retval; }",1
*rndwrite00_get_title,1,static const char *rndwrite00_get_title(void),4
,1,void CL_Drop (void),3
*groupNameForTask,2,char *groupNameForTask(int taskNum),7
,4,"int ILibIsDelimiter (const char* buffer, int offset, int buffersize, const char* Delimiter, int DelimiterLength)",29
newState_0,1,static void* newState_0(void) { return NULL; },1
foo553,1,void foo553() {},1
interp_weno7,1,"double interp_weno7(double phim3, double phim2, double phim1, double phi, double phip1, double phip2, double phip3){",40
Unknown,1,__attribute__((no_sanitize_undefined)),10
cleanup_nanosleep_sems,1,void cleanup_nanosleep_sems(int num),4
init_sockets,1,void init_sockets() {,3
reread,1,void reread(void),4
CGhostBusterRay_OnInitClass,1,void CGhostBusterRay_OnInitClass(void) {},1
valid_piece_or_empty,2,int valid_piece_or_empty(const int pce),4
atomic_cmpxchg8,1,"static inline unsigned long atomic_cmpxchg8(unsigned long *addr,",12
compare,3,"int compare(int array1[], int array2[],int col)",14
foo581,1,void foo581(int p) {},1
Characters__combine_accent,56,"int Characters__combine_accent(int accent, int letter) {",48
goflexnet_init,1,static inline void goflexnet_init(void) {},1
r2h_bits,9,static inline unsigned int r2h_bits(int cmd),15
*,1,static void *,6
get_biggest_of_three,5,"float get_biggest_of_three(float a, float b, float c)",15
*gsm_network2str,8,static char *gsm_network2str(int id),21
lengthOfLongestSubstring,4,int lengthOfLongestSubstring(char* s) {,14
foo566,1,void foo566(int p) {},1
dmax,2,"double dmax(double a, double b)",5
*logger_get_level_name,6,char *logger_get_level_name(int level),18
fib,2,int fib(int n) {,3
md5_H,1,"static unsigned int md5_H(unsigned int X, unsigned int Y, unsigned int Z)",4
Unknown,1,int,8
Unknown,1,__attribute__((noinline)),6
ft_putnbr,5,void ft_putnbr(int n),16
sqrt,1,double sqrt(double x),5
*fb_hGetExePath,1,"char *fb_hGetExePath( char *dst, int maxlen )",6
do_560,1,int do_560() { return 560; },1
,21,"int dayOfWeek (int doomsday, int leapYear, int month, int day) {",41
isLittleEndian,1,bool isLittleEndian() {,8
pollen_event_Events_targetInit__I,1,void pollen_event_Events_targetInit__I() {,2
f,3,"int f(long* v, long n, long c) {",5
endI2C,1,void endI2C(int i2cFileDesc) {,3
arch_touch_nmi_watchdog,1,static inline void arch_touch_nmi_watchdog(void) {},1
i2c_delay,1,static void i2c_delay(unsigned char msec),4
,1,void comm_gpu (int options) {,3
pot,2,"int pot(int a, int b)",10
IsSpanCompletelyOutside,3,"static inline bool IsSpanCompletelyOutside(int start,int len,int max)",6
LobbyTests,1,void LobbyTests(void) {,2
char,3,static signed char,15
foo295,1,void foo295(int p) {},1
do_542,1,int do_542() { return 542; },1
evaluatePoly,2,"double evaluatePoly(double coef[], int length, double x){",8
main,2,int main(void),20
foo133,1,void foo133() {},1
ceph_stable_mod,2,"static inline int ceph_stable_mod(int x, int b, int bmask)",7
min,3,int min(int num_seq[5]) {,9
strlen,2,int strlen(const char *s),9
is_bouncy,6,bool is_bouncy(int n) {,17
,1,"static inline int _shr2 (int src1, unsigned int src2) {",9
eval_op,4,"int eval_op(int n1,int n2,char op){",10
port_enable,1,static inline void port_enable(void) {,3
dyad_init,1,void dyad_init(void) {,5
cantBien,3,"int cantBien(int incognita[], int numero[], int dim) {",9
http_trace,1,"int http_trace(int connection,const char *host){",4
strcmp,4,"int strcmp(const char* str1, const char* str2) {",9
even,1,unsigned int even(unsigned int target){,3
explicit_unsigned_int_to_signed_char,1,signed char explicit_unsigned_int_to_signed_char(unsigned int src) {,3
securestore_key_write,1,"static inline int securestore_key_write(char *keyname, char *keybuf,unsigned int keylen,int keytype)",4
my_str_length,2,int my_str_length(const char *p),10
GCD,2,"int GCD(long x, long y) {",3
*getfileextension,4,static char *getfileextension(char *filename) {,11
parport_pc_find_nonpci_ports,1,"static int parport_pc_find_nonpci_ports(int autoirq, int autodma)",8
summator,1,"int summator(int i, float f){",3
div,2,"int div(int x, int y)",4
check_atari,1,static void check_atari(void),4
foo177,1,void foo177() {},1
,2,void trunc2ascii (char *str) {,6
basic_sanitize,8,int basic_sanitize(char *str),21
pp_sqrt,1,double pp_sqrt(double n),4
codeToLetter,1,char codeToLetter(char code) {,3
explicit_signed_char_to_unsigned_int,1,unsigned int explicit_signed_char_to_unsigned_int(signed char src) {,3
clr_bit,1,"static inline void clr_bit(char *addr, int bit)",4
f,2,void f(unsigned int counter) {,5
Unknown,1,int,9
,1,static inline void security_sb_post_mountroot (void),2
posix_openpt,2,int posix_openpt(int oflag),9
nrf52_errata_27,1,static bool nrf52_errata_27(void),6
create_environment,1,static int create_environment(){,3
coproc_read,1,inline int coproc_read(unsigned int* _adr),5
pow2,1,static inline float pow2( float f ) {,3
foo,1,int foo(int a){,3
nrf52_errata_64,1,static bool nrf52_errata_64(void),6
pkey_gost_derive_init,1,static int pkey_gost_derive_init(EVP_PKEY_CTX *ctx),4
getpid,1,pid_t getpid(void),4
HelpItem25,1,int HelpItem25( void ),4
InitDebug,1,void InitDebug(void),4
dummy_aiDacrateChanged,1,static void dummy_aiDacrateChanged(int SystemType) {},1
ILibBase64EncodeLength,1,int ILibBase64EncodeLength(const int inputLen),4
nl,1,void nl(void),4
RdFwVr,1,unsigned short RdFwVr( void ),7
,3,static unsigned char __attribute__ ((always_inline)),7
celsius,1,double celsius(double fahrenheit) {,3
factorial,2,int factorial(int n),7
gpio_fec_inactive,1,void gpio_fec_inactive(void) {},1
clear,1,void clear( void) { },1
EstimatePi,2,double EstimatePi(int iterations),11
*nonull_string,2,const char *nonull_string(const char *s){,3
foo448,1,void foo448(int p) {},1
,1,static inline __attribute__ ((always_inline)),10
square,1,int square(int y ),4
TLAString_toFloat,8,float TLAString_toFloat(const char* string){,24
,1,void remove_pidfile ( void ),7
toint,7,unsigned char toint(char c),7
magnitude,3,long magnitude(double x) {,16
pointBeneathLine,16,static int pointBeneathLine(,23
wpa_debug_close_syslog,1,static inline void wpa_debug_close_syslog(void),3
roundNo,2,int roundNo(float num),4
lsrchlint,3,"inline long int lsrchlint(long int *a,long int n,long int k){long int i;for(i=0;i<n;i++){if(*(a+i)==k)return i;}return -1;}",1
VIDDummyVdp2DrawEnd,1,void VIDDummyVdp2DrawEnd(void),3
int_ycr_to_r,3,"static unsigned char int_ycr_to_r(unsigned char y, unsigned char cr)",17
fgetwd,1,void fgetwd(char *buffer) {,3
nrf51_errata_15,1,static bool nrf51_errata_15(void),6
pantagon,1,int pantagon(int i) {,3
kernel__Float__unary_32d_45d,1,double kernel__Float__unary_32d_45d(double self) {,9
VENUS_EXTRADATA_SIZE,1,"static inline unsigned int VENUS_EXTRADATA_SIZE(int width, int height)",8
v8_t66_to_str,9,const char * v8_t66_to_str(int t66),24
main,1,int main(),4
sub,2,"int sub(int par, int a, int b)",9
I_UpdateCD,1,void I_UpdateCD(void){},1
GetBit,2,static int GetBit(const int number),11
void,1,static __inline void,5
CommonROM_Init,1,void CommonROM_Init( void ),5
clock_reset,1,void clock_reset(void),5
mIsIndiaState,2,int mIsIndiaState( int ccode ) { return (ccode>=271 && ccode<=305); },1
pong_get_version,1,unsigned int pong_get_version(void) {,3
tgi_done,1,void tgi_done(void),3
min,1,inline float min(float x),4
,1,double topocentric_azimuth_angle_zero_360 (double azimuth180),4
CAN_IRQHandler,1,void CAN_IRQHandler(void),3
double,1,static double,14
fdcopy,4,"static void fdcopy(int dst, int src) {",13
_rc2_rol,3,"unsigned short _rc2_rol(unsigned short input, int places)",13
run_process,1,static int run_process(char *filename),6
lseek,1,"int lseek(int file, int ptr, int dir) {}",1
main,1,int main(),5
DMA1_Channel1_IRQHandler,1,void DMA1_Channel1_IRQHandler(void),3
int,1,static inline unsigned int,5
pixel_get_signed_r8,1,static int pixel_get_signed_r8(unsigned int pixel) {,3
double,5,static double,12
encode_gfi_pitch_oil,9,"static inline unsigned short encode_gfi_pitch_oil(float gfi, float pitch, float oil) {",38
isNumber,2,static inline int isNumber(char c),4
sandbox_unsuspend,1,int sandbox_unsuspend(void),4
main,1,int main(void),8
nrf52_errata_230,1,static bool nrf52_errata_230(void),6
prog_rbit,2,inline int prog_rbit(int a) {,8
,3,long fibonacci (long limit) {,15
mfn_to_pfn,1,static inline unsigned long mfn_to_pfn(unsigned long mfn),4
main,2,int main(),12
dmax,2,"double dmax( double a, double b){",3
bus_destroy,1,"void bus_destroy(int fd, char *path) {",4
MPI_Wait,1,void MPI_Wait(){},1
do_447,1,int do_447() { return 447; },1
,1,int bar (int ip[]) {,3
void,1,static void,6
G_NextQueueTime,2,"int G_NextQueueTime( int queuedBP, int totalBP, int queueBaseRate )",10
test20,20,int test20(int x) {,40
buffer_caseless_compare,19,"int buffer_caseless_compare(const char *a, size_t a_len, const char *b, size_t b_len)",58
char,2,static unsigned char,5
tolower,3,int tolower(int c),7
strStr,6,"int strStr(char * haystack, char * needle) {",14
UnixVfs_uid,1,static int UnixVfs_uid(void),4
main,1,int main(),14
nsock_win32_init,1,static int nsock_win32_init(void),5
verify_benchmark,2,int verify_benchmark(int r) {,6
mymodule_,1,void mymodule_(void) {},1
longint_ignoring_unsignedshort,1,"long int longint_ignoring_unsignedshort(long int x, unsigned short y){return x;}",1
nrf53_errata_28,1,static bool nrf53_errata_28(void),6
evalhand,30,"int evalhand(int *flop, int *hand) {",79
ipa_debugfs_init,1,void ipa_debugfs_init(void) {},1
heap_pai,1,int heap_pai(int n) {,3
Parrot_str_indexed,1,"int Parrot_str_indexed(int i, char* string, int index) {",3
update,1,"void update(int nx, int ny, double *u1, double *u2)",7
ps3_console_write,1,"static void ps3_console_write(const char *buf, int len)",3
foo,2,int foo(int a),8
main,1,int main(void),4
DSP_Stop,1,void DSP_Stop(),3
,1,"static inline int _packh2 (unsigned int src1, unsigned int src2) {",7
*ant_dump_num,5,"char *ant_dump_num(char *dst, unsigned int ui, int base) {",19
,1,"double newtons_2nd_law (double mass, double acceleration)",9
f,1,int f() {,3
Mepg2AspectRatioDeno,10,"int Mepg2AspectRatioDeno( unsigned char code, long width, long height )",30
init_wordbreak,1,void init_wordbreak(void),3
foo538,1,void foo538() {},1
avl_dup_error,1,int avl_dup_error(),4
pass,1,static void pass() {},1
strcomp,5,"int strcomp(char s[], char ss[]) {",10
ireadc,1,char ireadc() {,5
foo368,1,void foo368(int p) {},1
is_valid_integer,2,bool is_valid_integer(int a),4
int,3,static int,11
,2,"static void reverse_bytes (unsigned int *buf, unsigned int longs)",10
brn,1,void brn() {,10
read_line,4,"int read_line(int fd,char *buf,int size)",20
GFX_SetTargetSurface,1,void GFX_SetTargetSurface(int surface),3
INT_Excep_TMR0_OV0I,1,void INT_Excep_TMR0_OV0I(void){ },1
Unknown,1,int,7
iAlignUp,2,"inline int iAlignUp(int a, int b)",4
reverse,8,static int reverse(int x),17
Unknown,7,static,26
